#{"t_start": 1744321262.6129818, "env_id": "None"}
r,l,t
230.2196,358,381.753996
51.09005,111,382.474822
50.280045,112,383.133125
72.56002,124,383.921723
178.2597,284,385.442726
168.71983,278,388.203041
102.96995,198,389.420174
98.130005,172,390.45203
179.35982,294,392.037539
50.980034,112,392.741031
50.530037,107,393.439657
185.26967,293,395.242868
76.57001,133,396.145839
50.97004,103,396.88609
97.35,170,397.942723
170.45982,274,399.418595
185.65962,294,402.846766
391.69965,420,405.755917
43.740044,106,406.643818
389.91965,418,409.41399
165.06989,273,411.398148
168.45987,274,413.34187
417.19952,440,416.399179
178.15974,294,419.869897
416.95963,434,423.42492
402.8399,416,427.74195
48.150055,105,429.102787
185.00966,299,431.973008
43.860046,104,433.321821
121.429924,207,435.72919
216.42953,322,440.445487
43.890022,111,441.363838
42.370064,113,442.382684
411.92957,437,445.966206
43.56005,104,446.724133
166.35986,274,448.247984
372.99948,385,450.188967
163.82986,277,451.712946
182.40967,299,454.635442
411.2697,433,456.952267
230.67957,362,458.745028
410.1397,456,460.98581
183.90968,299,462.69608
49.72004,108,463.391635
49.030045,107,463.981744
168.15991,274,466.418555
186.8597,299,467.842793
179.11974,288,469.197993
120.51992,208,470.197358
51.13002,107,470.770765
166.58986,271,472.064696
44.13002,107,472.657653
97.55998,169,473.583185
177.0597,294,474.984889
386.90964,419,478.494476
120.029854,207,479.646034
79.43004,132,480.389219
169.27988,272,481.794789
166.51993,278,483.178032
229.83978,406,485.138795
42.86006,104,485.822844
50.390053,101,486.394929
226.44957,365,488.137253
370.34937,380,491.150084
220.65958,329,492.648174
233.49963,365,494.357882
50.020042,108,495.014258
50.090042,111,495.620078
75.870026,133,496.379036
179.76987,303,497.837855
169.26967,268,499.219772
48.200035,100,501.3628
101.22998,192,502.390288
43.38005,102,502.96389
41.56006,104,503.593906
49.180023,112,504.196872
168.20982,269,505.478862
220.5996,325,507.080271
74.21997,138,507.841839
162.58987,271,509.249859
75.26997,133,509.990123
50.140045,106,510.6328
44.650047,105,511.204828
44.93004,107,511.787916
409.19974,440,514.726235
413.17957,452,516.729177
372.15964,419,518.857287
51.000053,100,519.452888
182.37964,302,521.121595
