#{"t_start": 1743710600.502121, "env_id": "None"}
r,l,t
245.68965,371,643.573458
78.08004,132,645.054272
221.02965,332,647.236266
220.10959,334,649.368897
218.29965,325,651.98621
167.4499,275,654.080652
218.02963,322,656.606635
394.29968,400,662.605282
222.31955,333,665.207169
222.79965,335,667.4606
221.12947,332,669.643806
79.680046,132,670.977068
71.57005,123,672.275954
112.80996,184,673.785806
110.94999,180,675.313894
166.51988,278,680.707062
71.07002,123,681.977016
217.22961,322,684.317309
215.4396,321,686.716028
79.85001,135,687.94184
168.66974,268,689.957522
71.770065,123,691.574498
167.56973,268,693.655794
215.13962,321,696.146276
77.780014,132,700.103135
219.02951,332,702.471278
74.12003,128,703.714282
242.28972,371,706.943098
163.91983,278,709.551695
77.08003,132,711.082572
392.5996,400,713.896698
243.28967,371,719.771774
391.88977,401,722.343457
395.45972,399,724.882979
71.97003,123,726.122461
221.16965,328,728.611318
218.18958,326,731.127799
394.69965,400,737.257835
243.88972,371,739.834419
221.32953,332,742.446956
393.4997,400,745.102248
220.56963,328,747.730139
167.85966,259,749.808921
221.22961,332,752.961128
78.180046,132,757.354503
220.62964,332,759.827667
216.01956,323,762.508719
219.57957,327,764.762404
77.380035,132,766.02881
221.54962,340,768.714226
77.23998,136,769.966315
395.84964,400,776.111678
218.23962,321,778.360637
163.53993,276,780.342801
77.48002,132,781.747621
168.11984,278,783.806402
169.61989,278,785.73907
217.99963,325,788.222538
78.88005,132,789.388739
221.8996,325,794.565239
220.99957,325,797.118676
77.58004,132,798.376073
223.6296,332,800.763814
223.11954,333,803.237965
73.37006,123,804.442531
79.38004,132,805.783865
221.43959,331,808.756411
221.26959,328,814.103721
74.11,129,815.585132
219.30951,334,818.103376
167.13985,276,820.059887
78.48004,132,821.196385
166.76987,273,823.458148
392.58978,401,826.010867
220.38951,336,828.654504
167.64986,275,833.686
220.4296,332,836.01938
222.0296,332,838.35637
166.0199,278,840.305379
220.02956,332,842.895136
391.1898,401,845.843025
71.24003,126,846.997818
391.74982,400,852.439965
391.38974,401,855.029865
214.93967,321,857.458844
78.38005,132,858.76779
218.91959,333,861.048796
221.4696,328,863.52527
219.02963,332,869.042094
217.0296,322,871.311878
393.0897,401,873.952835
243.4897,371,876.52117
76.98004,132,877.958755
70.87002,123,879.109043
164.6198,278,881.388116
71.18003,122,882.646191
243.58961,371,887.7713
220.12961,332,889.991672
240.68954,371,892.831774
219.32947,332,895.098114
222.32956,332,897.593006
69.78006,122,898.715326
78.28003,132,900.003913
221.92955,332,906.855294
69.48003,122,908.152129
216.7295,332,910.434252
219.82956,332,912.950428
215.29953,325,915.347718
163.46983,273,917.523597
163.61978,278,919.433778
221.52957,332,924.714688
213.73956,321,927.287755
217.58957,326,929.604933
221.9296,332,931.907755
167.05984,274,934.241862
164.73988,276,936.220858
390.74982,400,938.852676
163.23993,276,943.732233
68.880005,122,944.885014
217.9696,328,947.084584
220.22952,332,949.429602
243.38957,371,951.82039
391.4497,400,954.760856
217.18958,326,961.012855
77.29003,131,962.357759
239.28961,371,964.943996
166.6199,278,967.028676
108.55001,180,968.664512
110.25002,180,970.132885
213.82956,322,972.631957
393.2898,401,975.436282
218.57953,327,981.040339
390.49963,400,983.590938
219.92952,332,985.915612
167.33986,276,988.275394
393.3897,401,991.134918
217.25955,329,993.461457
220.72955,332,998.443887
218.28961,326,1000.618355
390.44983,400,1003.662914
219.04955,330,1006.287813
219.68951,326,1008.772788
164.43987,276,1011.104684
221.33963,331,1017.103174
78.350006,135,1018.384776
77.669975,133,1019.632282
216.31961,323,1021.940758
166.15985,274,1024.15761
219.68958,326,1026.426173
163.91988,278,1028.593266
221.42957,332,1030.872626
170.16971,268,1035.961791
221.3696,328,1038.189373
75.02003,128,1039.435522
78.280045,132,1040.737923
219.51956,323,1043.366636
71.06001,124,1044.578533
221.35959,329,1047.086801
246.0898,371,1049.490568
79.66002,134,1050.732917
243.68962,371,1056.326849
219.78958,326,1058.860769
222.11955,333,1061.180647
72.17003,123,1062.584928
220.19965,325,1065.95013
79.18004,132,1067.195031
221.26962,328,1069.7237
393.59952,400,1075.966481
112.04998,180,1077.392919
109.93995,181,1078.789865
220.02959,332,1081.01641
222.12958,332,1083.627095
214.9195,323,1086.066784
76.19,131,1087.53371
78.18003,132,1088.726181
166.71992,278,1094.205917
219.6296,332,1096.478012
68.39002,121,1097.726062
214.8996,325,1100.411512
70.570045,123,1101.632645
214.42952,322,1104.064411
217.42957,322,1106.30029
218.72961,342,1108.976231
76.480034,132,1113.211014
168.06972,268,1115.52738
220.82956,332,1117.886514
222.12961,332,1120.593724
215.41962,323,1123.056032
167.34987,275,1125.073441
76.78004,132,1126.302256
392.7999,400,1132.043769
69.09004,121,1133.17596
166.35983,274,1135.084273
76.38002,132,1136.313981
167.5299,277,1138.352459
220.56964,328,1140.737913
167.8299,277,1143.207777
73.240005,126,1144.335939
245.18962,371,1147.332076
243.0896,371,1153.020784
220.57959,327,1155.197508
221.72961,332,1157.489956
168.96973,268,1159.868898
212.91956,323,1162.426048
77.680046,132,1163.779728
77.18004,132,1165.080303
215.51959,323,1170.623657
393.98972,401,1173.216558
76.58004,132,1174.548959
110.24999,180,1176.202476
216.90964,324,1178.712376
222.64955,330,1181.188908
78.580055,132,1182.732341
220.85953,339,1185.303583
72.170044,123,1189.371853
167.9599,274,1191.356766
215.82965,322,1193.770953
391.9997,400,1196.547713
221.5896,326,1199.038994
165.62991,277,1201.268401
165.66983,273,1203.517729
222.62958,332,1208.590316
220.26959,338,1210.878291
76.78002,132,1212.116001
167.53984,276,1214.641949
69.39003,121,1215.818896
249.33958,371,1218.448371
218.29965,325,1220.896588
168.2697,268,1222.770052
168.44992,275,1228.368148
217.52957,322,1230.640054
217.53964,321,1232.822582
222.74959,330,1235.301044
166.56984,273,1237.220323
167.61986,278,1239.404713
224.62955,332,1244.492748
392.2498,400,1247.098723
165.84991,275,1249.412967
168.81992,278,1251.588264
68.790054,121,1253.053096
242.38963,371,1255.700439
218.47958,327,1258.122654
224.04958,330,1263.080191
245.18964,371,1265.668778
167.5697,268,1267.716416
216.23956,321,1270.196067
167.01997,278,1272.102102
170.2697,268,1274.166465
223.62955,332,1276.465299
396.7498,400,1282.310655
220.0296,332,1284.62418
392.4997,400,1287.340456
164.92986,277,1289.495612
218.12953,332,1291.711654
77.98003,132,1293.015451
393.19974,400,1299.342688
165.43985,276,1301.315893
395.59985,400,1304.084939
394.24985,400,1307.062934
167.45985,274,1308.953596
243.68956,371,1311.379768
218.79962,325,1317.122028
217.21964,323,1319.343044
76.479996,132,1320.555621
245.18962,371,1323.071172
69.39003,121,1324.450726
76.18002,132,1325.712971
393.39966,400,1328.366085
166.16983,273,1330.551006
222.15955,329,1335.860919
223.92957,332,1338.198783
243.48961,371,1340.657823
70.97002,123,1341.826397
77.47001,133,1343.019497
169.36969,268,1345.304302
224.02957,332,1347.883003
221.47955,327,1350.364817
